,0
faltas,0.13675665521219732
suspensos,0.13425974537838223
SalAm,0.058738718492122255
edad,0.04955921395429011
TiempoEstudio,0.046817031028148
AlcFin,0.045687457176428234
Pedu,0.042737448456266945
TiempoLib,0.04193763870021476
Medu,0.04119535690503807
salud,0.039845632302174055
RelFam,0.036315017741301886
TiempoViaje,0.03105939952856013
asignatura_L,0.029583834108287365
asignatura_M,0.028175458920398067
AlcSem,0.027625518959291603
escuela_BG,0.02178915609311234
EstSup_si,0.021351614834183272
razon_cercania,0.019246249337061386
tutor_otros,0.018684426995109624
razon_reputacion,0.018401031496955482
Mtrab_servicios,0.018348969348606532
Ptrab_docencia,0.017280148246919657
apoyo_si,0.016898818042294882
Mtrab_otros,0.01626919347786743
Mtrab_casa,0.014208532152620558
apoyo_no,0.014051577368031691
Mtrab_docencia,0.013176155744136178
